MaxHitPoints                                                          最大ヒットポイント
MarketValue                                                           市場価値
MarketValueIgnoreHp                                              マーケットバリュー無視HP
RoyalFavorValue                                                     ロイヤルフェイバリットバリュー
SellPriceFactor                                                        セルプライスファクター
Beauty                                                                   ビューティー
BeautyOutdoors                                                      ビューティアウトドア
Cleanliness                                                             清潔感
Flammability                                                           燃えやすさ
DeteriorationRate                                                    劣化度
WorkToMake                                                          作るべきもの
WorkToBuild                                                           作業性
Mass                                                                      質量
ConstructionSpeedFactor                                          建設速度
Nutrition                                                                栄養
FoodPoisonChanceFixedHuman                                 食中毒の確率:人
MoveSpeed                                                             移動速度
GlobalLearningFactor                                               グローバルラーニング係数
HungerRateMultiplier                                               飢餓率倍率
RestRateMultiplier                                                   休憩時間倍率
PsychicSensitivity                                                    精神感応度
ToxicSensitivity                                                       毒物感知
MentalBreakThreshold                                             メンタルブレイクのしきい値
EatingSpeed                                                           食べる速さ
ComfyTemperatureMin                                            快適温度Min
ComfyTemperatureMax                                            快適温度MAX
Comfort                                                                 快適性
MeatAmount                                                           肉量
LeatherAmount                                                       皮の量
MinimumHandlingSkill                                              最小ハンドリングスキル
MeleeDPS                                                               近接DPS
PainShockThreshold                                                痛覚閾値
ForagedNutritionPerDay                                           一日当たりの収穫栄養量
FilthRate                                                                汚物処理量
PsychicEntropyMax                                                  サイキックエントロピーの最大値
PsychicEntropyRecoveryRate                                    精神力回復速度
PsychicEntropyGain                                                 精神活動の獲得量
MeditationFocusGain                                                瞑想フォーカスゲイン
CertaintyLossFactor                                                 確実性損失因子(CertaintyLossFactor)
SocialIdeoSpreadFrequencyFactor                             SocialIdeoSpreadFrequencyFactor:ソーシャルイデオスプレッドフリークエンシーファクター
SuppressionPower                                                   サプレッションパワー
SlaveSuppressionFallRate                                         スレーブサプレッションフォールレート
AnimalsLearningFactor                                            動物学習係数
BondAnimalChanceFactor                                        ボンドアニマルチャンスファクター
CaravanRidingSpeedFactor                                       キャラバン乗車の速度係数
BiosculpterOccupantSpeed                                       バイオスカルプチャーの搭乗者速度
WorkSpeedGlobal                                                    ワークスピード:グローバル
MiningSpeed                                                           採掘速度
DeepDrillingSpeed                                                   深堀り速度
MiningYield                                                             採掘量
ResearchSpeed                                                       研究開発速度
ConstructionSpeed                                                  建設速度
HuntingStealth                                                        ハンティング・ステルス
PlantWorkSpeed                                                      プラントワーク速度
SmoothingSpeed                                                     スムージング速度
FoodPoisonChance                                                  食中毒の確率
CarryingCapacity                                                     運搬能力
PlantHarvestYield                                                    植物収穫量
DrugHarvestYield                                                    薬物収穫量
FixBrokenDownBuildingSuccessChance                      故障した建物の修復成功率
ConstructSuccessChance                                          建設成功率
GeneralLaborSpeed                                                 一般労働力の速度
HackingSpeed                                                         ハッキング速度
PruningSpeed                                                         剪定速度
MedicalTendSpeed                                                   メディカルテンドスピード
MedicalTendQuality                                                 医療行為品質
MedicalSurgerySuccessChance                                  医療手術の成功率
NegotiationAbility                                                    交渉力
ArrestSuccessChance                                               逮捕成功率
TradePriceImprovement                                           取引価格改善
DrugSellPriceImprovement                                       医薬品販売価格の改善
SocialImpact                                                           社会的影響
PawnBeauty                                                           質屋
AnimalProductsSellImprovement                               動物製品販売改善
ConversionPower                                                    変換能力
AnimalGatherSpeed                                                 動物収集のスピード
AnimalGatherYield                                                   動物収集の収穫量
TameAnimalChance                                                 動物を飼いならす確率
TrainAnimalChance                                                 動物を訓練する確率
ShootingAccuracyPawn                                            射撃精度ポーン
ShootingAccuracyTurret                                           タレットの射撃精度
MortarMissRadiusFactor                                           迫撃砲のミスラジアス係数
AimingDelayFactor                                                  照準遅延係数
ShootingAccuracyOutdoorsDarkOffset                        射撃精度屋外暗所オフセット
ShootingAccuracyOutdoorsLitOffset                           射撃精度屋外照明オフセット
ShootingAccuracyIndoorsDarkOffset                          射撃精度屋内暗黒オフセット
ShootingAccuracyIndoorsLitOffset                             屋内照度オフセット射撃精度
MeleeHitChanceOutdoorsDarkOffset                          近接ヒットチャンス屋外ダークオフセット
MeleeHitChanceOutdoorsLitOffset                              近接ヒットチャンス屋外照度オフセット
MeleeHitChanceIndoorsDarkOffset                            近接攻撃ヒットチャンス・インドア・ダークオフセット
MeleeHitChanceIndoorsLitOffset                                屋内ヒットチャンスLitOffset
MeleeDodgeChanceOutdoorsDarkOffset                     MeleeDodgeChanceOutdoorsDarkOffset 近接ドッジチャンス屋外ダークオフセット
MeleeDodgeChanceOutdoorsLitOffset                         屋外でのMeleeDodgeChanceLitOffset
MeleeDodgeChanceIndoorsDarkOffset                       近接ドッジチャンス屋内暗オフセット
MeleeDodgeChanceIndoorsLitOffset                           MeleeDodgeChanceインドアライトオフセット(MeleeDodgeChanceIndoorsLitOffset)
MeleeHitChance                                                      近接ヒットチャンス
MeleeDodgeChance                                                 近接攻撃でかわすチャンス
PawnTrapSpringChance                                           ポーントラップスプリングチャンス
IncomingDamageFactor                                           着弾ダメージファクター
MeleeWeapon_AverageDPS                                      近接武器平均DPS
MeleeWeapon_DamageMultiplier                               近接武器ダメージ倍率
MeleeWeapon_CooldownMultiplier                             近接武器クールダウンマルチプライヤー
MeleeWeapon_AverageArmorPenetration                   近接武器_平均鎧貫通力
SharpDamageMultiplier                                            鋭利なダメージ倍率
BluntDamageMultiplier                                             鈍器ダメージ倍率
StuffPower_Armor_Sharp                                         スタッフパワー_アーマー_シャープ
StuffPower_Armor_Blunt                                         スタッフパワー_アーマー_ブラント
StuffPower_Armor_Heat                                          スタッフパワー_アーマー_ヒート
StuffPower_Insulation_Cold                                     スタッフパワー_断熱材_冷気
StuffPower_Insulation_Heat                                     スタッフパワー_断熱材_熱
RangedWeapon_Cooldown                                       射撃武器クールダウン
RangedWeapon_DamageMultiplier                            射撃武器_ダメージ倍率
AccuracyTouch                                                       タッチの精度
AccuracyShort                                                        短時間の精度
AccuracyMedium                                                     精度(中)
AccuracyLong                                                         精度の長さ
StuffEffectMultiplierArmor                                        スタッフエフェクト乗算器(鎧)
StuffEffectMultiplierInsulation_Cold                           断熱材_冷気
StuffEffectMultiplierInsulation_Heat                           StuffEffectMultiplier_Heat(断熱材)
ArmorRating_Sharp                                                 鎧の評価_鋭さ
ArmorRating_Blunt                                                  アーマーレーティング_ブラント
ArmorRating_Heat                                                  アーマーレーティング_熱
Insulation_Cold                                                       断熱材_冷たい
Insulation_Heat                                                      断熱材_熱
EnergyShieldRechargeRate                                       エネルギーシールドリチャージ率
EnergyShieldEnergyMax                                           エナジーシールドエナジーマックス
SmokepopBeltRadius                                               スモークポップ・ベルト半径
JumpRange                                                            ジャンプ範囲
EquipDelay                                                             装備の遅延
MedicalPotency                                                       メディカルポテンシー
MedicalQualityMax                                                   メディカルクオリティマックス
ImmunityGainSpeed                                                イミュニティゲイン・スピード
ImmunityGainSpeedFactor                                       イミュニティゲインスピードファクター
InjuryHealingFactor                                                 傷害回復係数
DoorOpenSpeed                                                      ドアオープンスピード
BedRestEffectiveness                                               ベッドレスト効果
TrapMeleeDamage                                                  トラップ近接攻撃ダメージ
TrapSpringChance                                                   トラップスプリングチャンス
ResearchSpeedFactor                                               研究スピードファクター
MedicalTendQualityOffset                                         メディカルテンドクオリティオフセット
WorkTableWorkSpeedFactor                                     ワークテーブル作業スピードファクター
WorkTableEfficiencyFactor                                        ワークテーブルの効率性
JoyGainFactor                                                         ジョイゲインファクター
SurgerySuccessChanceFactor                                   手術成功確率因子
StyleDominance                                                      スタイルドミナンス
BiosculpterPodSpeedFactor                                       バイオスカルプターポッドスピードファクター
MeditationPlantGrowthOffset                                    瞑想植物成長オフセット
Ability_CastingTime                                                 アビリティ_キャスティングタイム
Ability_EntropyGain                                                 能力_エントロピー獲得量
Ability_PsyfocusCost                                                能力_サイフォーカスコスト
Ability_Duration                                                      能力持続時間
Ability_Range                                                         能力範囲
Ability_EffectRadius                                                 能力_効果範囲
Ability_RequiredPsylink                                            Ability_RequiredPsylink: アビリティ・リクワイアード・シリンク
Ability_GoodwillImpact                                            能力_グッドウィルインパクト
Ability_DetectChancePerEntropy                               アビリティ_ディテクトチャンス・パーエントロピ
MeditationFocusStrength                                          MeditationFocusStrength
TerrorSource                                                          テラーソース
Terror                                                                    テラー
FilthMultiplier                                                          フィルスマルチプライヤー(FilthMultiplier)
