Foods                                 食品
FoodMeals                             食べ物食事
Manufactured                          製造された
Root                                  根
Apparel                               衣服
ApparelArmor                          アパレル防具
ApparelUtility                        アパレルユーティリティ
PlantFoodRaw                          植物食品生
PlantMatter                           プラントマター
ResourcesRaw                          リソースRaw
Items                                 アイテム
Neurotrainers                         ニューロトレーナー
NeurotrainersPsycast                  ニューロトレーナーサイキャスト
NeurotrainersSkill                    ニューロトレーナースキル
Techprints                            テックプリント
BuildingsArt                          建物アート
Weapons                               兵器
Medicine                              薬
Drugs                                 薬物
BodyParts                             体の部分
Chunks                                チャンク
StoneChunks                           ストーンチャンク
StoneBlocks                           ストーンブロック
MeatRaw                               生肉
Leathers                              レザー
Textiles                              テキスタイル
Wools                                 ウール
Buildings                             建物
BuildingsSpecial                      建物スペシャル
Corpses                               死体
CorpsesHumanlike                      死体人間らしい
CorpsesMechanoid                      死体メカノイド
CorpsesInsect                         死体昆虫
CorpsesAnimal                         死体動物
EggsUnfertilized                      卵無精卵
EggsFertilized                        受精卵
Animals                               動物
ArmorHeadgear                         アーマーヘッドギア
Artifact                              アーティファクト
Stumps                                切り株
