Nudist                      ヌーディスト
Brawler                     乱闘者
Abrasive                   研磨剤
DrugDesire                ドラッグデザイア
Cannibal                   食人鬼
Ascetic                      禁欲主義者
Psychopath               サイコパス
Greedy                      貪欲
Kind                         親切
Gay                          ゲイ
Bisexual                    両性愛者
Asexual                    無性愛者
Industriousness         勤勉
Beauty                      美人
DislikesMen               嫌いな男性
DislikesWomen          嫌いな女性
AnnoyingVoice           うるさい声
CreepyBreathing        不気味な息づかい
Bloodlust                  血に飢えている
Pyromaniac               放火魔
Nerves                      神経質
TooSmart                  スマートすぎる
Transhumanist          トランスヒューマニスト
BodyPurist                ボディピュアリスト
NaturalMood             ナチュラルムード
PsychicSensitivity       サイキックセンシティブ
Undergrounder          アンダーグラウンダー
GreatMemory            偉大な記憶力
Tough                       タフ
SpeedOffset               スピードオフセット
ShootingAccuracy      射撃の正確さ
Jealous                     嫉妬深い
Wimp                       弱虫
Masochist                  マゾヒスト
